slow	run	slow_closed	slow_close_s_min	slow_close_s_max	normal_p50_ms	normal_p95_ms	normal_p99_ms	normal_max_silence_p99_ms	normal_msgs	api_cpu_cores	api_heap_mb	api_threads	ws_out_delta
25	1	25	3	3	126	157	196	1108	396224	0.2	729	150.0	21210
25	2	25	4	4	126	152	191	1095	395972	0.2	724	150.0	21412
25	3	25	3	3	127	161	195	1068	396200	0.2	716	151.0	21210
