case	run	ticks	tick_s	violations	dups	gaps	hot_partition	hot_n	hot_p50	hot_p95	hot_p99	same_n	same_p50	same_p95	same_p99	other_n	other_p50	other_p95	other_p99	worker_cpu_cores
hot-slow10	1	83856	2096	0	0	0	1	3657	5841.194	12201.854	12847.053	11970	5862.92	12222.145	12844.613	68229	17.534	24.781	45.686	0.34
hot-slow10	2	83856	2096	0	0	0	1	3657	6269.115	12823.889	13501.22	11970	6281.996	12830.678	13507.018	68229	17.325	24.149	39.293	0.3
hot-slow10	3	83846	2096	0	0	0	1	3647	6763.518	13705.056	14326.46	11970	6787.07	13741.553	14332.641	68229	17.883	25.121	41.119	0.28
hot-slow20	1	83849	2096	0	0	0	1	3650	31175.678	62416.911	65239.793	11970	31085.244	62519.376	65164.124	68229	17.784	26.109	54.634	0.35
hot-slow20	2	83786	2095	0	0	0	1	3587	31167.765	62344.772	65133.865	11970	30755.189	62437.495	65126.13	68229	17.809	28.045	84.811	0.29
hot-slow20	3	83835	2096	0	0	0	1	3636	32092.042	63455.254	66250.897	11970	32228.721	63528.395	66225.917	68229	17.799	26.242	56.729	0.26
