slow	run	slow_closed	slow_close_s_min	slow_close_s_max	normal_p50_ms	normal_p95_ms	normal_p99_ms	normal_max_silence_p99_ms	normal_msgs	api_cpu_cores	api_heap_mb	api_threads	ws_out_delta
1	1	1	3	3	116	151	161	1117	396203	0.2	669	112.0	21210
1	2	1	3	3	119	149	158	1114	396084	0.1	647	112.0	21384
1	3	1	3	3	120	155	179	1142	396316	0.1	699	112.0	21210
25	1	25	3	4	123	16349	19219	20141	396019	0.2	878	115.0	21312
25	2	25	3	3	128	14337	17239	19017	396187	0.2	921	115.0	21210
25	3	25	3	4	129	16581	19462	21229	395801	0.2	952	116.0	21397
