run	ticks_logged	unique	expected	lost	dups	violations	stocks_affected	w2_partitions	handover_gap_ms	w2_rejoin_s	w1_e2e_p99_ms_during
1	150288	150288	150288	0	0	0	0	[0, 2, 4]	45035	24.9	61
2	150086	150086	150086	0	0	0	0	[0, 3, 5]	45045	24.9	56
3	150288	150288	150288	0	0	0	0	[0, 3, 4]	45040	24.9	61
